interval_begin_s,interval_end_s,interval_begin_hhmm,edge_id,speed_mean_ms,speed_min_ms,speed_max_ms,speed_std_ms,density_mean_vkl,density_min_vkl,density_max_vkl,density_std_vkl,n_runs
36000.0,36900.0,10:00,-1025366406,8.7350,8.6100,8.8600,0.1768,0.5100,0.5000,0.5200,0.0141,2
36000.0,36900.0,10:00,-1026845806,13.5400,13.4200,13.6600,0.1697,0.1650,0.1600,0.1700,0.0071,2
36000.0,36900.0,10:00,-104288999,8.6800,8.5900,8.7700,0.1273,0.3850,0.3800,0.3900,0.0071,2
36000.0,36900.0,10:00,-1053066061#2,8.7550,8.4800,9.0300,0.3889,0.6400,0.6200,0.6600,0.0283,2
36000.0,36900.0,10:00,-1053066068#1,8.7550,8.4800,9.0300,0.3889,0.6400,0.6200,0.6600,0.0283,2
36000.0,36900.0,10:00,-1053066068#3,8.6600,8.4300,8.8900,0.3253,0.5150,0.5000,0.5300,0.0212,2
36000.0,36900.0,10:00,-1053066068#4,5.3150,2.1900,8.4400,4.4194,1.2800,0.5300,2.0300,1.0607,2
36000.0,36900.0,10:00,-1054418205,8.3500,8.3100,8.3900,0.0566,0.5300,0.5300,0.5300,0.0000,2
36000.0,36900.0,10:00,-11022533#0,8.3550,8.3100,8.4000,0.0636,0.5300,0.5300,0.5300,0.0000,2
36000.0,36900.0,10:00,-11022533#2,8.3500,8.3100,8.3900,0.0566,0.5300,0.5300,0.5300,0.0000,2
36000.0,36900.0,10:00,-1112393351,12.3100,11.7900,12.8300,0.7354,0.0900,0.0900,0.0900,0.0000,2
36000.0,36900.0,10:00,-1177239769,12.6550,12.1100,13.2000,0.7707,0.0850,0.0800,0.0900,0.0071,2
36000.0,36900.0,10:00,-1301164218#0,9.1400,8.8600,9.4200,0.3960,0.6100,0.5900,0.6300,0.0283,2
36000.0,36900.0,10:00,-1301164218#3,9.1400,8.8600,9.4200,0.3960,0.6100,0.5900,0.6300,0.0283,2
36000.0,36900.0,10:00,-1301164219,9.1400,8.8600,9.4200,0.3960,0.6100,0.5900,0.6300,0.0283,2
36000.0,36900.0,10:00,-133499410#1,12.5450,11.7600,13.3300,1.1102,0.0850,0.0800,0.0900,0.0071,2
36000.0,36900.0,10:00,-133499410#2,12.2450,11.5600,12.9300,0.9687,0.0950,0.0900,0.1000,0.0071,2
36000.0,36900.0,10:00,-134063971,8.4450,8.4300,8.4600,0.0212,0.2600,0.2600,0.2600,0.0000,2
36000.0,36900.0,10:00,-134063977#1,13.8800,13.8800,13.8800,0.0000,0.2400,0.2400,0.2400,0.0000,2
36000.0,36900.0,10:00,-134411713#1,8.8900,8.7000,9.0800,0.2687,0.1250,0.1200,0.1300,0.0071,2
36000.0,36900.0,10:00,-134411713#3,8.8900,8.7100,9.0700,0.2546,0.1250,0.1200,0.1300,0.0071,2
36000.0,36900.0,10:00,-135413547#0,11.9000,11.8300,11.9700,0.0990,0.2800,0.2800,0.2800,0.0000,2
36000.0,36900.0,10:00,-135706987#0,13.8900,13.8900,13.8900,0.0000,0.0800,0.0800,0.0800,0.0000,2
36000.0,36900.0,10:00,-1361717374#2,8.4500,8.4400,8.4600,0.0141,0.2600,0.2600,0.2600,0.0000,2
36000.0,36900.0,10:00,-13715475#0,8.9650,8.6900,9.2400,0.3889,0.1250,0.1200,0.1300,0.0071,2
36000.0,36900.0,10:00,-13715475#1,7.7550,7.2400,8.2700,0.7283,0.1400,0.1300,0.1500,0.0141,2
36000.0,36900.0,10:00,-137355170,8.5100,7.6900,9.3300,1.1597,0.1300,0.1200,0.1400,0.0141,2
36000.0,36900.0,10:00,-1435969024#0,13.8900,13.8900,13.8900,0.0000,0.1600,0.1600,0.1600,0.0000,2
36000.0,36900.0,10:00,-161182809,8.8900,8.7000,9.0800,0.2687,0.1250,0.1200,0.1300,0.0071,2
36000.0,36900.0,10:00,-16312517,11.4100,10.0500,12.7700,1.9233,0.1000,0.0900,0.1100,0.0141,2
36000.0,36900.0,10:00,-230834613#0,7.8800,7.4400,8.3200,0.6223,0.1400,0.1300,0.1500,0.0141,2
36000.0,36900.0,10:00,-230834615,13.5150,13.1400,13.8900,0.5303,0.0800,0.0800,0.0800,0.0000,2
36000.0,36900.0,10:00,-236455763#2,8.3500,8.3100,8.3900,0.0566,0.5300,0.5300,0.5300,0.0000,2
36000.0,36900.0,10:00,-2535004#0,13.6000,10.5300,16.6700,4.3416,0.0900,0.0700,0.1100,0.0283,2
36000.0,36900.0,10:00,-2535004#2,13.3650,10.5500,16.1800,3.9810,0.0900,0.0700,0.1100,0.0283,2
36000.0,36900.0,10:00,-2535038#0,13.8900,13.8900,13.8900,0.0000,0.2400,0.2400,0.2400,0.0000,2
36000.0,36900.0,10:00,-2535038#1,13.8900,13.8900,13.8900,0.0000,0.2400,0.2400,0.2400,0.0000,2
36000.0,36900.0,10:00,-2535038#3,13.8900,13.8900,13.8900,0.0000,0.2400,0.2400,0.2400,0.0000,2
